Gender,Age,Ethnicity,Location,Income,,,,,,,,,
1,2,0,1,0,,,,,,,,,
1,74,0,1,964,,,,,,,,,
0,74,0,1,2890,,,,,,,,,
0,79,0,1,0,,,,,,,,,
1,52,0,1,74000,,,,,,,,,
1,23,5,1,7651,,,,,,,,,
0,21,5,1,18000,,,,,,,,,
0,18,5,1,0,,,,,,,,,
0,42,0,1,90000,,,,,,,,,
1,39,0,1,40000,,,,,,,,,
0,10,0,1,0,,,,,,,,,
1,8,0,1,0,,,,,,,,,
0,31,0,1,0,,,,,,,,,
0,33,0,1,28000,,,,,,,,,
0,6,0,1,0,,,,,,,,,
0,36,0,0,75000,,,,,,,,,
1,33,0,0,0,,,,,,,,,
1,20,0,0,3000,,,,,,,,,
0,20,0,0,16000,,,,,,,,,
1,20,0,0,4000,,,,,,,,,
1,23,0,0,11000,,,,,,,,,
1,60,0,0,600,,,,,,,,,
0,33,0,1,76000,,,,,,,,,
0,42,0,1,50000,,,,,,,,,
1,63,0,1,50002,,,,,,,,,
0,75,0,1,0,,,,,,,,,
1,73,0,1,0,,,,,,,,,
1,71,0,1,0,,,,,,,,,
1,54,0,0,80000,,,,,,,,,
0,58,0,0,2500,,,,,,,,,
0,22,0,0,10000,,,,,,,,,
0,34,0,1,90000,,,,,,,,,
1,33,0,1,45000,,,,,,,,,
0,65,0,1,95000,,,,,,,,,
1,66,0,1,14000,,,,,,,,,
1,53,0,1,24000,,,,,,,,,
0,53,0,1,100000,,,,,,,,,
1,43,0,0,70000,,,,,,,,,
0,49,0,0,0,,,,,,,,,
0,17,0,0,0,,,,,,,,,
1,14,0,0,0,,,,,,,,,
1,73,0,0,21000,,,,,,,,,
0,72,0,0,0,,,,,,,,,
0,40,0,0,0,,,,,,,,,
1,38,0,0,10900,,,,,,,,,
1,14,0,0,0,,,,,,,,,
1,11,0,0,0,,,,,,,,,
0,10,0,0,0,,,,,,,,,
0,9,5,0,0,,,,,,,,,
1,8,0,0,0,,,,,,,,,
1,60,0,1,175000,,,,,,,,,
0,62,0,1,30000,,,,,,,,,
0,26,0,1,0,,,,,,,,,
1,57,0,1,35000,,,,,,,,,
1,57,0,1,13000,,,,,,,,,
0,42,0,0,44000,,,,,,,,,
1,10,0,0,0,,,,,,,,,
1,32,0,0,0,,,,,,,,,
0,28,0,0,35000,,,,,,,,,
1,7,0,0,0,,,,,,,,,
0,5,0,0,0,,,,,,,,,
0,4,0,0,0,,,,,,,,,
0,3,0,0,0,,,,,,,,,
0,31,0,1,130000,,,,,,,,,
1,31,0,1,20000,,,,,,,,,
0,3,0,1,0,,,,,,,,,
1,1,0,1,0,,,,,,,,,
1,33,2,1,88500,,,,,,,,,
0,57,0,0,70000,,,,,,,,,
1,51,5,0,0,,,,,,,,,
0,78,0,0,0,,,,,,,,,
1,43,0,1,40002,,,,,,,,,
0,59,0,0,35000,,,,,,,,,
0,21,0,0,16869,,,,,,,,,
1,38,0,1,0,,,,,,,,,
1,35,0,1,0,,,,,,,,,
0,38,0,1,80000,,,,,,,,,
0,1,0,1,0,,,,,,,,,
1,35,0,1,85000,,,,,,,,,
0,28,0,1,70000,,,,,,,,,
0,33,0,0,44500,,,,,,,,,
1,45,0,1,60500,,,,,,,,,
1,13,0,1,0,,,,,,,,,
1,55,0,0,0,,,,,,,,,
0,56,0,0,50000,,,,,,,,,
1,43,0,0,16820,,,,,,,,,
1,56,0,0,14000,,,,,,,,,
1,69,0,0,0,,,,,,,,,
0,34,0,0,18720,,,,,,,,,
1,33,0,0,18000,,,,,,,,,
0,6,0,0,0,,,,,,,,,
1,2,0,0,0,,,,,,,,,
0,24,0,1,60000,,,,,,,,,
0,43,0,1,150000,,,,,,,,,
0,44,0,1,0,,,,,,,,,
1,62,0,1,45000,,,,,,,,,
0,59,0,1,17357,,,,,,,,,
1,38,0,1,35000,,,,,,,,,
0,39,0,1,55000,,,,,,,,,
1,9,0,1,0,,,,,,,,,
0,5,0,1,0,,,,,,,,,
1,2,0,1,0,,,,,,,,,
0,56,0,1,55750,,,,,,,,,
0,56,0,1,47440,,,,,,,,,
0,68,0,1,25000,,,,,,,,,
0,31,0,1,15000,,,,,,,,,
1,24,0,1,75002,,,,,,,,,
1,9,0,1,0,,,,,,,,,
0,7,0,1,0,,,,,,,,,
1,49,0,0,20000,,,,,,,,,
0,24,0,1,0,,,,,,,,,
1,51,0,1,150000,,,,,,,,,
0,63,0,1,78000,,,,,,,,,
1,12,0,1,0,,,,,,,,,
0,43,0,1,30000,,,,,,,,,
1,75,0,1,0,,,,,,,,,
0,22,0,1,8000,,,,,,,,,
